1,6
1,8
1,8762941
1,688136
1,8
3,8
3,8
3,562897
3,6
3,7
3,12852
3,90259
3,8762941
3,645510
3,427258
3,45567
3,1374301
3,38253
3,79994
3,16
3,9
3,8762943
3,385294
3,1610056
3,10
3,12
3,11
3,3748
3,13
3,37986
3,8762944
3,17
3,8
3,18
3,9024
3,8762945
3,54566
3,8762946
3,18020
3,8657299
3,39365
3,176509
3,8762947
3,2283
3,1462053
3,8762948
3,14
3,16482
3,124907
3,610145
3,3486871
3,8762949
3,8762950
3,33425
3,1024583
3,8762951
20,31
20,35
20,36
20,28
20,26
20,23
20,27
20,25
20,30
20,29
20,24
20,32
20,34
20,33
20,602588
20,4786851
20,100109
20,37
20,8762946
20,8762941
20,706345
20,38253
20,8762952
20,8762953
20,1875611
20,414291
20,107139
20,194869
20,5667264
20,8762949
20,8762954
20,52828
20,4424962
20,553213
20,1031801
20,8762955
20,986730
20,30122
20,8762956
20,8762957
20,38
20,594574
20,5523423
20,1753562
